H,J,Y,zpp,ip,r,V,B,u,blend
2.348472595214843750e+01,2.354168891906738281e+01,2.394853210449218750e+01,2.388967704772949219e+01,2.410079574584960938e+01,2.425736999511718750e+01,2.437247467041015625e+01,2.482694816589355469e+01,2.490462112426757812e+01,1.000000000000000000e+00
2.207286453247070312e+01,2.275852584838867188e+01,2.286890029907226562e+01,2.325866699218750000e+01,2.419029998779296875e+01,2.486703109741210938e+01,2.527257156372070312e+01,2.592515373229980469e+01,2.611408996582031250e+01,1.000000000000000000e+00
2.368023681640625000e+01,2.407458686828613281e+01,2.408011245727539062e+01,2.425013160705566406e+01,2.453713417053222656e+01,2.475518989562988281e+01,2.470290756225585938e+01,2.549911117553710938e+01,2.566004753112792969e+01,1.000000000000000000e+00
2.255505180358886719e+01,2.328494071960449219e+01,2.352652740478515625e+01,2.335512161254882812e+01,2.353283119201660156e+01,2.359909820556640625e+01,2.358320045471191406e+01,2.404723358154296875e+01,2.425569534301757812e+01,1.000000000000000000e+00
2.322167015075683594e+01,2.315952110290527344e+01,2.326406478881835938e+01,2.313941001892089844e+01,2.351511001586914062e+01,2.370317459106445312e+01,2.376008224487304688e+01,2.422014236450195312e+01,2.414753150939941406e+01,1.000000000000000000e+00
2.369478607177734375e+01,2.419166564941406250e+01,2.397918701171875000e+01,2.386727523803710938e+01,2.427468299865722656e+01,2.461541938781738281e+01,2.483060455322265625e+01,2.515540885925292969e+01,2.504978179931640625e+01,1.000000000000000000e+00
2.365900611877441406e+01,2.338650894165039062e+01,2.355924606323242188e+01,2.387103462219238281e+01,2.434332275390625000e+01,2.447802352905273438e+01,2.455476760864257812e+01,2.496475791931152344e+01,2.499469947814941406e+01,1.000000000000000000e+00
2.396702766418457031e+01,2.379179954528808594e+01,2.357332229614257812e+01,2.449692153930664062e+01,2.438672828674316406e+01,2.476202774047851562e+01,2.473875999450683594e+01,2.521995353698730469e+01,2.510368728637695312e+01,1.000000000000000000e+00
2.242280960083007812e+01,2.267886161804199219e+01,2.274787139892578125e+01,2.273799133300781250e+01,2.332489585876464844e+01,2.339442825317382812e+01,2.329707908630371094e+01,2.364902114868164062e+01,2.350433731079101562e+01,1.000000000000000000e+00
2.101635360717773438e+01,2.132742691040039062e+01,2.187956047058105469e+01,2.276970672607421875e+01,2.352726554870605469e+01,2.421473312377929688e+01,2.438056182861328125e+01,2.512324905395507812e+01,2.575345039367675781e+01,1.000000000000000000e+00
2.201583099365234375e+01,2.220415878295898438e+01,2.223381996154785156e+01,2.230869865417480469e+01,2.252027702331542969e+01,2.292744064331054688e+01,2.335029602050781250e+01,2.404103088378906250e+01,2.413454246520996094e+01,1.000000000000000000e+00
2.353999710083007812e+01,2.325805854797363281e+01,2.407034492492675781e+01,2.393210411071777344e+01,2.418041610717773438e+01,2.420809745788574219e+01,2.426532173156738281e+01,2.465699386596679688e+01,2.476145172119140625e+01,1.000000000000000000e+00
2.034535598754882812e+01,2.077180290222167969e+01,2.114262390136718750e+01,2.132025146484375000e+01,2.189551925659179688e+01,2.274470710754394531e+01,2.329615211486816406e+01,2.426983833312988281e+01,2.512070465087890625e+01,1.000000000000000000e+00
2.422598457336425781e+01,2.424842834472656250e+01,2.387791824340820312e+01,2.432213211059570312e+01,2.435955238342285156e+01,2.451051521301269531e+01,2.483106422424316406e+01,2.600608444213867188e+01,2.677993202209472656e+01,1.000000000000000000e+00
2.407904624938964844e+01,2.408859062194824219e+01,2.444077682495117188e+01,2.428146743774414062e+01,2.431801223754882812e+01,2.469695472717285156e+01,2.514154243469238281e+01,2.589014816284179688e+01,2.604089927673339844e+01,1.000000000000000000e+00
2.360762023925781250e+01,2.340562438964843750e+01,2.371887207031250000e+01,2.349560737609863281e+01,2.382226943969726562e+01,2.405289840698242188e+01,2.417348861694335938e+01,2.446147918701171875e+01,2.435581588745117188e+01,1.000000000000000000e+00
2.233459472656250000e+01,2.281725692749023438e+01,2.327865791320800781e+01,2.359540748596191406e+01,2.411726951599121094e+01,2.462708663940429688e+01,2.472883415222167969e+01,2.557004356384277344e+01,2.567552185058593750e+01,1.000000000000000000e+00
2.327377891540527344e+01,2.310819435119628906e+01,2.348073768615722656e+01,2.363243103027343750e+01,2.397821807861328125e+01,2.417208480834960938e+01,2.425325012207031250e+01,2.455910301208496094e+01,2.454853439331054688e+01,1.000000000000000000e+00
2.268994331359863281e+01,2.260917854309082031e+01,2.288471412658691406e+01,2.278321838378906250e+01,2.310428428649902344e+01,2.358723449707031250e+01,2.376634216308593750e+01,2.419965553283691406e+01,2.405001640319824219e+01,1.000000000000000000e+00
2.178179740905761719e+01,2.209131050109863281e+01,2.227489471435546875e+01,2.240246200561523438e+01,2.312935638427734375e+01,2.350900650024414062e+01,2.368356895446777344e+01,2.415981483459472656e+01,2.403857421875000000e+01,1.000000000000000000e+00
2.319794464111328125e+01,2.404293060302734375e+01,2.405014419555664062e+01,2.362522315979003906e+01,2.396504974365234375e+01,2.458353805541992188e+01,2.473630905151367188e+01,2.514159774780273438e+01,2.501647758483886719e+01,1.000000000000000000e+00
2.336688423156738281e+01,2.345846557617187500e+01,2.347407341003417969e+01,2.351534843444824219e+01,2.381543731689453125e+01,2.432315254211425781e+01,2.475380516052246094e+01,2.512954330444335938e+01,2.509158706665039062e+01,1.000000000000000000e+00
2.297597694396972656e+01,2.398245811462402344e+01,2.402233123779296875e+01,2.410156440734863281e+01,2.424574089050292969e+01,2.429001998901367188e+01,2.436805343627929688e+01,2.479695510864257812e+01,2.508295059204101562e+01,1.000000000000000000e+00
2.307869911193847656e+01,2.319587898254394531e+01,2.337392997741699219e+01,2.365669631958007812e+01,2.426153945922851562e+01,2.441554069519042969e+01,2.451246643066406250e+01,2.486662864685058594e+01,2.487255287170410156e+01,1.000000000000000000e+00
2.322291374206542969e+01,2.336688423156738281e+01,2.374654579162597656e+01,2.392144775390625000e+01,2.441279029846191406e+01,2.445559120178222656e+01,2.441844558715820312e+01,2.485689163208007812e+01,2.473913574218750000e+01,1.000000000000000000e+00
2.393811607360839844e+01,2.372973632812500000e+01,2.408781242370605469e+01,2.434307289123535156e+01,2.449746513366699219e+01,2.451341819763183594e+01,2.461897277832031250e+01,2.500953483581542969e+01,2.523937988281250000e+01,1.000000000000000000e+00
2.273847579956054688e+01,2.299426841735839844e+01,2.337187194824218750e+01,2.351376533508300781e+01,2.384097862243652344e+01,2.396400451660156250e+01,2.394932556152343750e+01,2.451039886474609375e+01,2.475338172912597656e+01,1.000000000000000000e+00
2.398360061645507812e+01,2.349900627136230469e+01,2.403082275390625000e+01,2.353096580505371094e+01,2.380305099487304688e+01,2.429285240173339844e+01,2.426409339904785156e+01,2.459708213806152344e+01,2.440354537963867188e+01,1.000000000000000000e+00
2.340188980102539062e+01,2.361155700683593750e+01,2.314634132385253906e+01,2.368406105041503906e+01,2.366845321655273438e+01,2.376452064514160156e+01,2.373210906982421875e+01,2.402167701721191406e+01,2.395789527893066406e+01,1.000000000000000000e+00
2.154045104980468750e+01,2.190434265136718750e+01,2.220458030700683594e+01,2.237092781066894531e+01,2.304913902282714844e+01,2.370496940612792969e+01,2.400607299804687500e+01,2.458545875549316406e+01,2.461163711547851562e+01,1.000000000000000000e+00
2.317126464843750000e+01,2.370528411865234375e+01,2.372253417968750000e+01,2.369787597656250000e+01,2.380068016052246094e+01,2.384574127197265625e+01,2.380223846435546875e+01,2.426347732543945312e+01,2.474161148071289062e+01,1.000000000000000000e+00
2.235419845581054688e+01,2.282564544677734375e+01,2.331224441528320312e+01,2.393496513366699219e+01,2.428524398803710938e+01,2.471809387207031250e+01,2.496553802490234375e+01,2.526628875732421875e+01,2.528281593322753906e+01,1.000000000000000000e+00
2.206809234619140625e+01,2.226957893371582031e+01,2.260565757751464844e+01,2.289471244812011719e+01,2.333686256408691406e+01,2.355289649963378906e+01,2.361496353149414062e+01,2.400040245056152344e+01,2.406077003479003906e+01,1.000000000000000000e+00
2.157498168945312500e+01,2.189030838012695312e+01,2.201583480834960938e+01,2.222310066223144531e+01,2.294702720642089844e+01,2.333702278137207031e+01,2.349205398559570312e+01,2.399497795104980469e+01,2.393923377990722656e+01,1.000000000000000000e+00
2.337527465820312500e+01,2.350507164001464844e+01,2.398492622375488281e+01,2.398700714111328125e+01,2.435867118835449219e+01,2.496052169799804688e+01,2.513574409484863281e+01,2.559905624389648438e+01,2.547832870483398438e+01,1.000000000000000000e+00
2.282518959045410156e+01,2.268431663513183594e+01,2.274066734313964844e+01,2.299458503723144531e+01,2.308157730102539062e+01,2.336087989807128906e+01,2.391341972351074219e+01,2.444911003112792969e+01,2.437408447265625000e+01,1.000000000000000000e+00
2.085384368896484375e+01,2.119831848144531250e+01,2.164679718017578125e+01,2.209168815612792969e+01,2.322787094116210938e+01,2.410051918029785156e+01,2.458978652954101562e+01,2.521065902709960938e+01,2.521032142639160156e+01,1.000000000000000000e+00
2.274317550659179688e+01,2.321590805053710938e+01,2.330998802185058594e+01,2.365495491027832031e+01,2.414452934265136719e+01,2.437155723571777344e+01,2.451899337768554688e+01,2.486887359619140625e+01,2.492966461181640625e+01,1.000000000000000000e+00
2.408380508422851562e+01,2.339967536926269531e+01,2.392041206359863281e+01,2.377743339538574219e+01,2.432539939880371094e+01,2.465513229370117188e+01,2.461541748046875000e+01,2.491617965698242188e+01,2.472937011718750000e+01,1.000000000000000000e+00
2.340736579895019531e+01,2.337345886230468750e+01,2.311801147460937500e+01,2.340518951416015625e+01,2.332513999938964844e+01,2.350577163696289062e+01,2.360698127746582031e+01,2.409452247619628906e+01,2.391973114013671875e+01,1.000000000000000000e+00
2.329052352905273438e+01,2.313427162170410156e+01,2.338274002075195312e+01,2.310707473754882812e+01,2.358676910400390625e+01,2.378758811950683594e+01,2.406476593017578125e+01,2.464284706115722656e+01,2.454652595520019531e+01,1.000000000000000000e+00
2.327677917480468750e+01,2.330742073059082031e+01,2.354559707641601562e+01,2.376452064514160156e+01,2.442128181457519531e+01,2.472106552124023438e+01,2.475920295715332031e+01,2.515358734130859375e+01,2.513885307312011719e+01,1.000000000000000000e+00
2.089416313171386719e+01,2.149598312377929688e+01,2.196546363830566406e+01,2.242923545837402344e+01,2.314567375183105469e+01,2.395914649963378906e+01,2.449895858764648438e+01,2.507246589660644531e+01,2.551987266540527344e+01,1.000000000000000000e+00
2.309820365905761719e+01,2.338994407653808594e+01,2.350333595275878906e+01,2.344626617431640625e+01,2.382834243774414062e+01,2.440107917785644531e+01,2.448239326477050781e+01,2.495601844787597656e+01,2.484049034118652344e+01,1.000000000000000000e+00
2.216291618347167969e+01,2.234350395202636719e+01,2.263818359375000000e+01,2.259209632873535156e+01,2.296430778503417969e+01,2.341515350341796875e+01,2.385504150390625000e+01,2.478438758850097656e+01,2.508871650695800781e+01,1.000000000000000000e+00
2.332396125793457031e+01,2.376002502441406250e+01,2.352890205383300781e+01,2.374846458435058594e+01,2.449158477783203125e+01,2.476547622680664062e+01,2.479478073120117188e+01,2.507485771179199219e+01,2.506238365173339844e+01,1.000000000000000000e+00
2.409599876403808594e+01,2.447345542907714844e+01,2.432466316223144531e+01,2.448346328735351562e+01,2.449260711669921875e+01,2.470527076721191406e+01,2.476732063293457031e+01,2.567915344238281250e+01,2.641642951965332031e+01,1.000000000000000000e+00
2.470592308044433594e+01,2.434521484375000000e+01,2.404738807678222656e+01,2.425896644592285156e+01,2.441337013244628906e+01,2.469378852844238281e+01,2.493622398376464844e+01,2.564618492126464844e+01,2.563680267333984375e+01,1.000000000000000000e+00
2.145239830017089844e+01,2.199877357482910156e+01,2.240913200378417969e+01,2.293440437316894531e+01,2.329104423522949219e+01,2.372994422912597656e+01,2.391383361816406250e+01,2.428585624694824219e+01,2.444292831420898438e+01,1.000000000000000000e+00
2.068022727966308594e+01,2.104291725158691406e+01,2.139565467834472656e+01,2.162751007080078125e+01,2.247962951660156250e+01,2.300182723999023438e+01,2.323192787170410156e+01,2.371948814392089844e+01,2.368125343322753906e+01,1.000000000000000000e+00
2.328824806213378906e+01,2.353190803527832031e+01,2.358041954040527344e+01,2.415603637695312500e+01,2.430097389221191406e+01,2.445642280578613281e+01,2.459238052368164062e+01,2.497816658020019531e+01,2.485549926757812500e+01,1.000000000000000000e+00
2.288144493103027344e+01,2.296417236328125000e+01,2.321584701538085938e+01,2.314745903015136719e+01,2.334161186218261719e+01,2.388683509826660156e+01,2.441755294799804688e+01,2.489297103881835938e+01,2.483052825927734375e+01,1.000000000000000000e+00
2.315968894958496094e+01,2.323548889160156250e+01,2.332066345214843750e+01,2.343103027343750000e+01,2.388112831115722656e+01,2.436375045776367188e+01,2.483476829528808594e+01,2.600659751892089844e+01,2.649242591857910156e+01,1.000000000000000000e+00
2.399963760375976562e+01,2.404186058044433594e+01,2.402637100219726562e+01,2.403832054138183594e+01,2.431529426574707031e+01,2.476266860961914062e+01,2.501630210876464844e+01,2.522886466979980469e+01,2.505999946594238281e+01,1.000000000000000000e+00
2.291444778442382812e+01,2.327252960205078125e+01,2.404025077819824219e+01,2.409139823913574219e+01,2.433850669860839844e+01,2.482536697387695312e+01,2.496329116821289062e+01,2.542286872863769531e+01,2.537184906005859375e+01,1.000000000000000000e+00
2.354707145690917969e+01,2.378274917602539062e+01,2.415773010253906250e+01,2.385581970214843750e+01,2.421102333068847656e+01,2.488763427734375000e+01,2.497794532775878906e+01,2.543746185302734375e+01,2.520346069335937500e+01,1.000000000000000000e+00
2.192691802978515625e+01,2.232270431518554688e+01,2.292185783386230469e+01,2.318015480041503906e+01,2.359334373474121094e+01,2.370954895019531250e+01,2.380829811096191406e+01,2.445497512817382812e+01,2.489842414855957031e+01,1.000000000000000000e+00
2.343051528930664062e+01,2.334064483642578125e+01,2.405708122253417969e+01,2.409103584289550781e+01,2.448303794860839844e+01,2.454833793640136719e+01,2.457106399536132812e+01,2.516030883789062500e+01,2.546735572814941406e+01,1.000000000000000000e+00
2.441182327270507812e+01,2.528714752197265625e+01,2.472416305541992188e+01,2.482432174682617188e+01,2.514541244506835938e+01,2.567544174194335938e+01,2.586047172546386719e+01,2.650879096984863281e+01,2.641455841064453125e+01,1.000000000000000000e+00
2.232019233703613281e+01,2.263773345947265625e+01,2.276411819458007812e+01,2.298143959045410156e+01,2.312843513488769531e+01,2.353562736511230469e+01,2.398047828674316406e+01,2.524187469482421875e+01,2.584422492980957031e+01,1.000000000000000000e+00
2.286699295043945312e+01,2.329736137390136719e+01,2.365388298034667969e+01,2.375331306457519531e+01,2.406056976318359375e+01,2.397882652282714844e+01,2.410505104064941406e+01,2.490499114990234375e+01,2.539232635498046875e+01,1.000000000000000000e+00
2.347532081604003906e+01,2.354251480102539062e+01,2.416775131225585938e+01,2.417928314208984375e+01,2.421715354919433594e+01,2.421368026733398438e+01,2.427868080139160156e+01,2.459288024902343750e+01,2.481835174560546875e+01,1.000000000000000000e+00
2.210975265502929688e+01,2.245329284667968750e+01,2.280424880981445312e+01,2.288084220886230469e+01,2.331970214843750000e+01,2.354438972473144531e+01,2.358682060241699219e+01,2.413216400146484375e+01,2.440075111389160156e+01,1.000000000000000000e+00
2.329588699340820312e+01,2.322183990478515625e+01,2.412844467163085938e+01,2.384080505371093750e+01,2.400594139099121094e+01,2.399057769775390625e+01,2.405139923095703125e+01,2.433530998229980469e+01,2.443047523498535156e+01,1.000000000000000000e+00
2.357533073425292969e+01,2.363840293884277344e+01,2.404382705688476562e+01,2.416511726379394531e+01,2.443149948120117188e+01,2.487513542175292969e+01,2.493588447570800781e+01,2.528762817382812500e+01,2.558702659606933594e+01,1.000000000000000000e+00
2.289895629882812500e+01,2.304850387573242188e+01,2.335251998901367188e+01,2.357860374450683594e+01,2.381956672668457031e+01,2.390762710571289062e+01,2.399267005920410156e+01,2.436087799072265625e+01,2.450896263122558594e+01,1.000000000000000000e+00
