H,J,Y,zpp,ip,r,V,B,u,blend
2.375021362304687500e+01,2.401198005676269531e+01,2.421269607543945312e+01,2.400535011291503906e+01,2.440203094482421875e+01,2.495124053955078125e+01,2.510107421875000000e+01,2.547593879699707031e+01,2.534403991699218750e+01,0.000000000000000000e+00
2.402327156066894531e+01,2.395141983032226562e+01,2.354768943786621094e+01,2.379421806335449219e+01,2.415173149108886719e+01,2.447901725769042969e+01,2.452507781982421875e+01,2.484990882873535156e+01,2.463311767578125000e+01,0.000000000000000000e+00
2.234268569946289062e+01,2.268691635131835938e+01,2.310767745971679688e+01,2.326026725769042969e+01,2.382871627807617188e+01,2.488522148132324219e+01,2.538588142395019531e+01,2.667818832397460938e+01,2.657335472106933594e+01,0.000000000000000000e+00
2.103808593750000000e+01,2.112344360351562500e+01,2.126990318298339844e+01,2.127619552612304688e+01,2.148151969909667969e+01,2.171757316589355469e+01,2.175675773620605469e+01,2.269711494445800781e+01,2.299141502380371094e+01,0.000000000000000000e+00
2.238498878479003906e+01,2.238420486450195312e+01,2.251465415954589844e+01,2.245996093750000000e+01,2.269281005859375000e+01,2.286975669860839844e+01,2.291055679321289062e+01,2.369398498535156250e+01,2.405369186401367188e+01,0.000000000000000000e+00
2.162437248229980469e+01,2.195117378234863281e+01,2.231795883178710938e+01,2.245004463195800781e+01,2.301372146606445312e+01,2.399745941162109375e+01,2.444541740417480469e+01,2.560270690917968750e+01,2.617919158935546875e+01,0.000000000000000000e+00
2.353376388549804688e+01,2.343456077575683594e+01,2.393643760681152344e+01,2.367306900024414062e+01,2.407297134399414062e+01,2.456250953674316406e+01,2.471008682250976562e+01,2.517977523803710938e+01,2.497887229919433594e+01,0.000000000000000000e+00
2.129495620727539062e+01,2.148499679565429688e+01,2.172787857055664062e+01,2.171574211120605469e+01,2.210374069213867188e+01,2.239003372192382812e+01,2.264695358276367188e+01,2.365395545959472656e+01,2.378518676757812500e+01,0.000000000000000000e+00
2.201671981811523438e+01,2.252678298950195312e+01,2.301257896423339844e+01,2.329508018493652344e+01,2.419262695312500000e+01,2.474736595153808594e+01,2.509922218322753906e+01,2.594185829162597656e+01,2.640871429443359375e+01,0.000000000000000000e+00
2.281210708618164062e+01,2.316396713256835938e+01,2.320685195922851562e+01,2.339291000366210938e+01,2.407764434814453125e+01,2.456465911865234375e+01,2.462969589233398438e+01,2.507690048217773438e+01,2.497492218017578125e+01,0.000000000000000000e+00
2.111012649536132812e+01,2.150270462036132812e+01,2.189323806762695312e+01,2.209790992736816406e+01,2.303087615966796875e+01,2.407825088500976562e+01,2.501905441284179688e+01,2.624402236938476562e+01,2.656038093566894531e+01,0.000000000000000000e+00
2.346845436096191406e+01,2.348922157287597656e+01,2.351728248596191406e+01,2.359264945983886719e+01,2.369716072082519531e+01,2.381963348388671875e+01,2.397772026062011719e+01,2.487821006774902344e+01,2.517655944824218750e+01,0.000000000000000000e+00
2.167354965209960938e+01,2.203964042663574219e+01,2.247964859008789062e+01,2.269388389587402344e+01,2.357161331176757812e+01,2.471806716918945312e+01,2.536549568176269531e+01,2.628947257995605469e+01,2.689883041381835938e+01,0.000000000000000000e+00
2.373799324035644531e+01,2.396558380126953125e+01,2.387207221984863281e+01,2.416392135620117188e+01,2.435330963134765625e+01,2.505467605590820312e+01,2.514702987670898438e+01,2.562726974487304688e+01,2.545514678955078125e+01,0.000000000000000000e+00
2.062927818298339844e+01,2.095921707153320312e+01,2.150499725341796875e+01,2.170869064331054688e+01,2.245719909667968750e+01,2.346086692810058594e+01,2.384758377075195312e+01,2.504092025756835938e+01,2.499178504943847656e+01,0.000000000000000000e+00
2.370534896850585938e+01,2.418463325500488281e+01,2.430064773559570312e+01,2.456659126281738281e+01,2.458240318298339844e+01,2.507798957824707031e+01,2.550834465026855469e+01,2.622286796569824219e+01,2.579989814758300781e+01,0.000000000000000000e+00
2.128813362121582031e+01,2.168089675903320312e+01,2.227096939086914062e+01,2.252830123901367188e+01,2.326042556762695312e+01,2.433158493041992188e+01,2.486318206787109375e+01,2.612862396240234375e+01,2.649048233032226562e+01,0.000000000000000000e+00
